Unnamed: 0,y,text,text_pt,finbert_sentiment,text_pt_clean,fb_new_sentiment
0,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","A Technopolis planeja desenvolver em etapas uma área não inferior a 100 mil metros quadrados para hospedar empresas que atuam em tecnologias de informática e telecomunicações, afirma o comunicado.",POSITIVE,technopolis planeja desenvolver etapas área inferior 100 mil metros quadrados hospedar empresas atuam tecnologias informática telecomunicações afirma comunicado,NEUTRAL
1,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","A Elcoteq, empresa internacional da indústria eletrônica, demitiu dezenas de funcionários de suas instalações em Tallinn; ao contrário das demissões anteriores, a empresa contratou os funcionários de seus escritórios, relatou o jornal Postimees.",NEGATIVE,elcoteq empresa internacional indústria eletrônica demitiu dezenas funcionários instalações tallinn contrário demissões anteriores empresa contratou funcionários escritórios relatou jornal postimees,NEGATIVE
2,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Com a nova planta de produção a empresa aumentaria sua capacidade para atender ao aumento esperado de demanda e melhoraria o uso de matérias-primas e, portanto, aumentaria a lucratividade da produção.",POSITIVE,nova planta produção empresa aumentaria capacidade atender aumento esperado demanda melhoraria uso matériasprimas portanto aumentaria lucratividade produção,NEUTRAL
3,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","De acordo com a estratégia atualizada da empresa para os anos de 2009-2012, a Basware tem como meta um crescimento de vendas líquidas de longo prazo na faixa de 20% -40% com uma margem de lucro operacional de 10% -20% das vendas líquidas.",POSITIVE,acordo estratégia atualizada empresa anos 20092012 basware meta crescimento vendas líquidas longo prazo faixa 20 40 margem lucro operacional 10 20 vendas líquidas,NEUTRAL
4,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"FINANCIAMENTO DO CRESCIMENTO DA ASPOCOMP A Aspocomp está perseguindo agressivamente sua estratégia de crescimento, focando cada vez mais em placas de circuito impresso HDI tecnologicamente mais exigentes.",POSITIVE,financiamento crescimento aspocomp aspocomp perseguindo agressivamente estratégia crescimento focando cada vez placas circuito impresso hdi tecnologicamente exigentes,POSITIVE
5,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","No último trimestre de 2010, as vendas líquidas da Componenta dobraram para EUR131 milhões de EUR76 milhões para o mesmo período do ano anterior, enquanto ela passou para um lucro zero antes de impostos de uma perda antes de impostos de EUR7 milhões.",POSITIVE,último trimestre 2010 vendas líquidas componenta dobraram eur131 milhões eur76 milhões período ano anterior enquanto passou lucro zero antes impostos perda antes impostos eur7 milhões,POSITIVE
6,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","No terceiro trimestre de 2010, as vendas líquidas aumentaram 5,2% para EUR 205,5 milhões e o lucro operacional de 34,9% para EUR 23,5 milhões.",POSITIVE,terceiro trimestre 2010 vendas líquidas aumentaram 52 eur 2055 milhões lucro operacional 349 eur 235 milhões,POSITIVE
7,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"O lucro operacional aumentou para EUR 13,1 milhões de EUR 8,7 milhões no período correspondente em 2007, representando 7,7% das vendas líquidas.",POSITIVE,lucro operacional aumentou eur 131 milhões eur 87 milhões período correspondente 2007 representando 77 vendas líquidas,POSITIVE
8,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","O lucro operacional totalizou EUR 21,1 milhões, acima dos EUR 18,6 milhões em 2007, representando 9,7% das vendas líquidas.",POSITIVE,lucro operacional totalizou eur 211 milhões acima eur 186 milhões 2007 representando 97 vendas líquidas,POSITIVE
9,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,A TeliaSonera TLSN disse que a oferta está em linha com sua estratégia de aumentar sua participação nas participações de negócios principais e fortaleceria a oferta da Eesti Telekom a seus clientes.,POSITIVE,teliasonera tlsn disse oferta linha estratégia aumentar participação participações negócios principais fortaleceria oferta eesti telekom clientes,POSITIVE
