,sentiment,text,text_pt,text_pt_clean,text_pt_lemma
0,neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","A Technopolis planeja desenvolver em etapas uma área não inferior a 100 mil metros quadrados para hospedar empresas que atuam em tecnologias de informática e telecomunicações, afirma o comunicado.",technopolis planeja desenvolver etapas área inferior 100 mil metros quadrados hospedar empresas atuam tecnologias informática telecomunicações afirma comunicado,technopoli planejar desenvolver etapa área inferior 100 mil metros quadrados hospedar empresa atuar tecnologia informático telecomunicação afirmar comunicar
1,negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","A Elcoteq, empresa internacional da indústria eletrônica, demitiu dezenas de funcionários de suas instalações em Tallinn; ao contrário das demissões anteriores, a empresa contratou os funcionários de seus escritórios, relatou o jornal Postimees.",elcoteq empresa internacional indústria eletrônica demitiu dezenas funcionários instalações tallinn contrário demissões anteriores empresa contratou funcionários escritórios relatou jornal postimees,elcoteq empresa internacional indústria eletrônico demitir dezena funcionário instalação tallinn contrário demissão anterior empresa contratar funcionário escritório relatar jornal postimeesr
2,positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Com a nova planta de produção a empresa aumentaria sua capacidade para atender ao aumento esperado de demanda e melhoraria o uso de matérias-primas e, portanto, aumentaria a lucratividade da produção.",nova planta produção empresa aumentaria capacidade atender aumento esperado demanda melhoraria uso matériasprimas portanto aumentaria lucratividade produção,novo planto produção empreso aumentar capacidade atender aumento esperar demanda melhorario uso matériasprimas portanto aumentar lucratividade produção
3,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","De acordo com a estratégia atualizada da empresa para os anos de 2009-2012, a Basware tem como meta um crescimento de vendas líquidas de longo prazo na faixa de 20% -40% com uma margem de lucro operacional de 10% -20% das vendas líquidas.",acordo estratégia atualizada empresa anos 20092012 basware meta crescimento vendas líquidas longo prazo faixa 20 40 margem lucro operacional 10 20 vendas líquidas,Acordo estratégia atualizado empresa ano 20092012 basware meta crescimento venda líquir longo prazo faixa 20 40 margem lucro operacional 10 20 venda líquer
4,positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"FINANCIAMENTO DO CRESCIMENTO DA ASPOCOMP A Aspocomp está perseguindo agressivamente sua estratégia de crescimento, focando cada vez mais em placas de circuito impresso HDI tecnologicamente mais exigentes.",financiamento crescimento aspocomp aspocomp perseguindo agressivamente estratégia crescimento focando cada vez placas circuito impresso hdi tecnologicamente exigentes,financiamento crescimento aspocomp aspocomp perseguir agressivamente estratéger crescimento focar cada vez placo circuito impresso hdi tecnologicamente exigente
5,positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","No último trimestre de 2010, as vendas líquidas da Componenta dobraram para EUR131 milhões de EUR76 milhões para o mesmo período do ano anterior, enquanto ela passou para um lucro zero antes de impostos de uma perda antes de impostos de EUR7 milhões.",último trimestre 2010 vendas líquidas componenta dobraram eur131 milhões eur76 milhões período ano anterior enquanto passou lucro zero antes impostos perda antes impostos eur7 milhões,último trimestre 2010 venda líquir componentar dobrar eur131 milhão eur76 milhão período ano anterior enquanto passar lucro zero antes imposto perda antes imposto eur7 milhão
6,positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","No terceiro trimestre de 2010, as vendas líquidas aumentaram 5,2% para EUR 205,5 milhões e o lucro operacional de 34,9% para EUR 23,5 milhões.",terceiro trimestre 2010 vendas líquidas aumentaram 52 eur 2055 milhões lucro operacional 349 eur 235 milhões,terceiro trimestre 2010 venda líquir aumentar 52 eur 2055 milhão lucro operacional 349 eur 235 milhão
7,positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"O lucro operacional aumentou para EUR 13,1 milhões de EUR 8,7 milhões no período correspondente em 2007, representando 7,7% das vendas líquidas.",lucro operacional aumentou eur 131 milhões eur 87 milhões período correspondente 2007 representando 77 vendas líquidas,lucro operacional aumentar eur 131 milhão eur 87 milhão período correspondente 2007 representar 77 venda líquer
8,positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","O lucro operacional totalizou EUR 21,1 milhões, acima dos EUR 18,6 milhões em 2007, representando 9,7% das vendas líquidas.",lucro operacional totalizou eur 211 milhões acima eur 186 milhões 2007 representando 97 vendas líquidas,lucro operacional totalizar eur 211 milhão acima eur 186 milhão 2007 representar 97 venda líquer
9,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,A TeliaSonera TLSN disse que a oferta está em linha com sua estratégia de aumentar sua participação nas participações de negócios principais e fortaleceria a oferta da Eesti Telekom a seus clientes.,teliasonera tlsn disse oferta linha estratégia aumentar participação participações negócios principais fortaleceria oferta eesti telekom clientes,teliasonerar tlsn dizer oferta linho estratégio aumentar participação participação negócio principal fortaleceria oferto eesti telekom cliente
