Sentence,Sentiment,Sentence_clear
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,geosolution technology leverage benefon gps solution provide location base search technology community platform location relevant multimedia content new powerful commercial model
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,esi low 150 250 bk real possibility
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter 2010 componenta net sale double eur131 m eur76 m period year early move zero pretax profit pretax loss eur7 m
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,accord finnishrussian chamber commerce major construction company finland operate russia
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,swedish buyout firm sell remain 224 percent stake almost eighteen month take company public finland
$SPY wouldn't be surprised to see a green close,positive,spy would not surprised see green close
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,shell 70 billion bg deal meet shareholder skepticism
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh communications security corp stock exchange release october 14 2008 245 pm company update full year outlook estimate result remain loss full year
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone net sale rise 14 yearonyear first nine month 2008
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,stockmann department store total floor space 8000 square metre stockmann investment project price tag eur 12 million
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increase 5 finland 4 sweden 2008
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,sap q1 disappoint software license real problem cloud growth trail msft orcl goog crm adbe httpstcojndphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,subdivision make sale revenue last year eur 4807 million eur 4149 million 2008 operating profit eur 445 million eur 74 million
Viking Line has canceled some services .,neutral,vike line cancel service
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ahlstrom corporation stock exchange announcement 722007 1030 total 56955 new share ahlstrom corporation subscribe option right company stock option program 2001 ii 2001
$FB gone green on day,positive,fb go green day
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,msft sql server revenue grow doubledigit sql server premium revenue grow 30 httpstkscoir2f
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,accord lñnnen tehtaat ceo matti karppinen company aim deliver fish product customer day early currently
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,company share quote nasdaq omx helsinki rautaruukki oyj rtrk
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se list nasdaq omx helsinki ltd
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,two contract turntable anode vibrocompactor deliver gansu hualu aluminum co ltd another unnamed costumer
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,aviva friend life top forecast ahead 56 billion pound merger
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,stead base soft drink usual teho energy drink make fresh water
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,company plan increase unit specialist staff several dozen depend market situation 2010
The company closed last year with a turnover of about four million euros .,neutral,company close last year turnover four million euro
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo step drive get baxalta board talk
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,costco premier retail dividend play httpstcofa5cnh2t0 t cost
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,fivestorey ecoefficient build gross floor area 15000 sq also include apartment
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,first installment cinema series conclude profile finnish inventor olavi linden whose personal artistic journey work fiskar lead dozen design award
All are welcome .,neutral,welcome
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,stockmann swedish sector company ab lindex enter agreement september 30 2007 whereby stockmann whollyowne subsidiary make public tender offer lindex issue share
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki oyj stock exchange release 1692008 1332 huhtamaki capital market day institutional investor analyst hold espoo september 16 2008 start 1330 pm finnish time
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,please welcome tapek noma cramo group
- Profit before taxes was EUR 105.9 82.7 million .,neutral,profit taxis eur 1059 827 million
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,royal dutch shell buy bg group nearly 70 billion
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,financialwire tm press release service receive compensation news opinion distribution
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupthing bank give neutral recommendation share price target 174 crown 247 19 euro swedish lock maker assa abloy ab
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,item include restructuring cost eur1 6 year early eur13 1 dilute eps stand eur0 3 versus loss per share eur 01
