sentence,sentiment,sentence_clear,sentence_pt
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .","A tecnologia GeoSolutions aproveitará as soluções de GPS da Benefon, fornecendo tecnologia de busca baseada em localização, uma plataforma de comunidades, conteúdo multimídia relevante para a localização e um novo e poderoso modelo comercial."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"ESI on lows, down 1.50 to 2.50 BK a real possibility","ESI em mínimas, queda de 1,50 a 2,50. BK é uma possibilidade real."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","No último trimestre de 2010, as vendas líquidas da Componenta dobraram, passando de 76 milhões de euros no mesmo período do ano anterior para 131 milhões de euros, enquanto a empresa reverteu um prejuízo antes de impostos de 7 milhões de euros para um lucro antes de impostos zero."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .","Segundo a Câmara de Comércio Finlandesa-Russa, todas as principais construtoras da Finlândia operam na Rússia."
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .","A empresa sueca de aquisições vendeu sua participação restante de 22,4%, quase dezoito meses após abrir o capital da empresa na Finlândia."
$SPY wouldn't be surprised to see a green close,positive,SPY wouldn't be surprised to see a green close,SPY não se surpreenderia ao ver um fechamento verde
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's 70 Billion BG Deal Meets Shareholder Skepticism,O acordo de US$ 70 bilhões da Shell com a BG encontra ceticismo entre os acionistas.
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","SSH COMMUNICATIONS SECURITY CORP - COMUNICADO À BOLSA DE VALORES - 14 DE OUTUBRO DE 2008, ÀS 14H45 - A empresa atualiza suas projeções para o ano todo e estima que seus resultados permanecerão negativos durante todo o ano."
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,As vendas líquidas da Kone aumentaram cerca de 14% em relação ao ano anterior nos primeiros nove meses de 2008.
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",A loja de departamentos Stockmann terá uma área total de mais de 8.000 metros quadrados e o investimento da Stockmann no projeto terá um custo aproximado de 12 milhões de euros.
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,A receita de circulação aumentou 5% na Finlândia e 4% na Suécia em 2008.
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails MSFT ORCL GOOG CRM ADBE https://t.co/jNDphllzq5,"O primeiro trimestre da SAP decepcionou com a queda nas licenças de software. Qual o verdadeiro problema? O crescimento da nuvem ficou atrás de MSFT, ORCL, GOOG, CRM e ADBE. https://t.co/jNDphllzq5"
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","A subdivisão obteve receitas de vendas no ano passado de 480,7 milhões de euros (414,9 milhões de euros em 2008) e lucros operacionais de 44,5 milhões de euros (7,4 milhões de euros em 2008)."
Viking Line has canceled some services .,neutral,Viking Line has canceled some services .,A Viking Line cancelou alguns serviços.
